Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Employment in Services(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Female Employment in Services(%),Unemployment(%),Female Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Agriculture value added(%),Industry value added(%),Services value added(%),Expense(% of GDP),GDP per capita,GDP growth rate,Foreign Direct Investment,Exports of goods and services,Imports of goods and services,Male life expectancy,Female life expectancy,Inflation rate,Year,Country
1302247.0,645595.0,656652.0,10.583,6.93,10.0,19.5112800647287,2.73168467951297,77.7570352557583,1.53825408330103,6.8120754462555,91.6496704704435,7.755,7.818,25555093854.2968,-9.67450651731345,-1715241243.34956,466466249.231873,1.82533569194245,12.8234844954585,74.5571998617301,41.5527640162945,28649.015625,-3.22063433575047,-26023544826.6398,79.647252717685,81.0214637422846,79.345,83.448,-0.638422797978959,2020.0,Cyprus
1286671.0,637642.0,649029.0,10.794,6.769,10.0,18.4348211112249,2.41073633860853,79.154593155298,1.26829268292683,6.99310344827586,91.7386038687973,7.155,8.124,26196667099.5303,2.23925394689914,-1403175502.30836,457971556.383469,1.74820542874204,12.7890118881986,73.2857142735047,36.4457382623728,29703.052734375,5.87559123003267,52834747335.586,75.7588676037208,74.7473019574414,79.508,83.27,0.250370996758493,2019.0,Cyprus
1270737.0,629591.0,641146.0,10.843,6.612,10.0,16.6609555014168,2.16570515679104,81.1733393417921,1.01297648855596,6.3137006368765,92.6733228745675,8.504,8.901,25754001367.5448,3.61824222638307,-930601235.514122,442489309.413503,1.71813809861456,12.0224270287232,73.4972493548522,38.3990163516317,29599.986328125,6.27166730438427,-1110259659.48526,74.511134620546,73.1124327895079,79.67,83.058,1.43549119531759,2018.0,Cyprus
1254275.0,621232.0,633043.0,10.994,6.453,10.0,17.0473161640347,2.52780670279161,80.4247113209925,1.06712325766481,6.83937294187227,92.0931387223727,11.155,11.363,22946570628.7576,6.38647286284515,-697979905.242396,425115735.772238,1.85263298228741,11.3472324007128,74.1380086156061,34.8145781782417,26696.990234375,5.75083246014417,14406568776.0425,73.8364791392389,74.1768764188964,79.246,83.415,0.531766496174467,2017.0,Cyprus
1237112.0,612478.0,624634.0,11.419,6.462,10.0,17.0502989714135,3.64348114026952,79.3060465213042,1.62075361785627,6.34121290164336,92.0384167279863,13.006,13.401,21046462280.5979,4.30961511543546,-834505728.779827,451186102.603327,2.14376219902412,10.836514879496,74.5691185819827,35.9607245594467,24715.154296875,6.57359100513114,8508203489.4198,70.4840522281272,68.538046229121,78.945,83.185,-1.42916666666665,2016.0,Cyprus
1219502.0,603502.0,616000.0,11.208,6.358,10.0,16.2250991736721,3.99523107107566,79.7796697552523,2.05295194811787,6.26349470363386,91.6835533482483,15.026,14.885,19909278416.8575,8.24537179791751,-134376497.843106,371902238.55426,1.86798451841109,10.1909463210663,75.5176128959667,39.2344403215911,23487.228515625,3.41892299033393,28960532080.4595,70.0173031293258,67.2591233478671,79.051,82.873,-2.0969976905311,2015.0,Cyprus
1201801.0,594485.0,607316.0,11.163,6.317,10.0,16.5175316133335,4.43008057689982,79.0523878097667,2.04285400483256,6.98444395630729,90.9727020388602,16.277,15.216,23225918259.9824,-2.64644502460634,-633846489.037209,428489441.073004,1.84487621232733,9.97287676875997,75.8273775269052,48.8394335483695,27244.3515625,-1.77606181111089,51738978689.3285,65.9517048728868,64.8926582065034,78.817,82.723,-1.35498885446315,2014.0,Cyprus
1183895.0,585352.0,598543.0,11.088,6.399,10.0,17.5626412572553,3.10540700861247,79.332139451415,1.66711965043591,7.24634651167653,91.0869519767515,16.131,15.352,23959712860.8331,-8.05574892402696,-314413403.369436,487900178.631905,2.03633566673278,10.7492783120679,76.1139226487119,42.3312280152498,27797.45703125,-6.58747695700073,25966316070.5419,61.2965904312478,59.6296102081412,78.409,82.405,-0.399357676464426,2013.0,Cyprus
1165397.0,575895.0,589502.0,11.762,6.439,10.0,20.1707042232976,2.91247442718723,76.9168213495152,1.8358795428236,8.27042538274664,89.8932874635188,12.097,11.295,25047436974.6819,-8.69571793117973,-174672186.119655,501269371.404197,2.00128009868188,11.7579854336711,74.948228738595,41.2461993543904,28991.935546875,-3.44738142393619,69972767553.5803,55.2783809408715,57.0658923564013,78.091,82.15,2.38905410042317,2012.0,Cyprus
1146493.0,566219.0,580274.0,11.507,6.354,10.0,20.8978262030657,3.82826826185262,75.2739055350816,2.34455732023338,8.35479563123003,89.3006470485366,7.942,7.737,27641547909.7011,1.86679705708718,725191881.004546,592999301.238562,2.14531871795227,12.7453642913525,73.9856254949183,40.0965350367546,32485.796875,0.416712762832276,40445860585.0788,53.4540885760578,57.1630482813666,77.736,82.336,3.28944939564211,2011.0,Cyprus
